#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.939      -2.939         5.8    0.000546    0.000303
      0.8976      -2.912      -2.912         7.9    0.000525     0.00035
       1.204        -1.8        -1.8          16   1.903e-10    0.007922
        1.38      -1.635      -1.635          24    0.003488     0.00983
           2      0.0536      0.0536         100   1.792e-05      0.5657
       2.204      0.6402      0.6402         160       1.778       1.294
       2.398      0.5794      0.5794         250   3.209e-07       1.899
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.3249      0.3249         850     0.05823       1.027
       3.064      0.2621      0.2621        1160      0.6148      0.6068
