#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.696     0.04343        2.15     0.02014    0.002014
      0.5563      -1.524     0.04343         3.6     0.02992    0.002992
      0.6532      -1.665     0.04343         4.5     0.02165    0.002165
      0.7634      -1.697     0.04343         5.8      0.0201     0.00201
      0.8976      -1.787     0.04343         7.9     0.01632    0.001632
       1.204     -0.7471     0.04343          16       0.179      0.0179
        1.38     -0.6923     0.04343          24      0.2031     0.02031
           2      0.2774      0.0781         100       1.894      0.3407
       2.204      0.6802     0.06141         160       4.788      0.6771
       2.398      0.7248      0.1418         250       5.306       1.733
