#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.156     0.04343        2.15    0.006982   0.0006982
      0.5563      -1.872     0.04343         3.6     0.01342    0.001342
      0.6532      -1.898     0.04343         4.5     0.01265    0.001265
      0.7634      -2.056     0.04343         5.8    0.008781   0.0008781
      0.8976      -1.953     0.04343         7.9     0.01115    0.001115
       1.204      -0.969     0.04343          16      0.1074     0.01074
        1.38      -1.119     0.04343          24     0.07596    0.007596
           2      0.3899      0.0618         100       2.454      0.3492
       2.204      0.4709      0.1078         160       2.957      0.7344
       2.398      0.8556      0.0504         250       7.171      0.8322
       2.544      0.6679       0.139         350       4.654        1.49
       2.699       0.744      0.1501         500       5.546       1.917
       5.301      -2.008      0.1236       2e+05    0.009822    0.002796
