#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.124     0.04343        2.15     0.07516    0.007516
      0.5563      -1.076     0.04343         3.6     0.08388    0.008388
      0.6532      -1.209     0.04343         4.5     0.06181    0.006181
      0.7634        -1.3     0.04343         5.8      0.0501     0.00501
      0.8976        -1.4     0.04343         7.9     0.03983    0.003983
        1.38     -0.4514     0.04343          24      0.3537     0.03537
           2       0.418     0.07051         100       2.618      0.4251
       2.204      0.8916     0.08285         160       7.792       1.486
       2.398       1.091       0.115         250       12.34       3.267
       2.544      0.8937      0.1779         350       7.829       3.207
       5.301      -1.767     0.07365       2e+05      0.0171      0.0029
