#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -0.82     0.04343        2.15      0.1514     0.01514
      0.5563       -1.25     0.04343         3.6     0.05626    0.005626
      0.6532      -1.402     0.04343         4.5     0.03967    0.003967
      0.7634      -1.504     0.04343         5.8     0.03136    0.003136
      0.8976     -0.9555     0.04343         7.9      0.1108     0.01108
       1.204     -0.9698     0.04343          16      0.1072     0.01072
        1.38     -0.8193     0.04343          24      0.1516     0.01516
           2      0.5811     0.04986         100       3.812      0.4376
       2.204      0.7553      0.0548         160       5.693      0.7184
       2.398      0.9244       0.125         250       8.403       2.418
       2.544      0.7228      0.0991         350       5.282       1.205
       5.301       -2.14       0.152       2e+05    0.007249    0.002537
