#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.821      -2.821         5.8    0.000462    0.000524
      0.8976      -2.634      -2.634         7.9    0.000901    0.000711
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.778      -1.778          24   8.071e-11     0.00834
           2      0.1349      0.1349         100      0.4784       0.443
       2.204       0.292       0.292         160   1.745e-05      0.9793
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.258      -2.258       2e+05   0.0001841    0.002669
