#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.952     0.04343        2.15     0.01117    0.001117
      0.5563      -1.624     0.04343         3.6     0.02376    0.002376
      0.6532      -1.547     0.04343         4.5     0.02841    0.002841
      0.7634      -1.623     0.04343         5.8     0.02382    0.002382
      0.8976      -1.622     0.04343         7.9     0.02388    0.002388
       1.204     -0.8897     0.04343          16      0.1289     0.01289
        1.38     -0.8492     0.04343          24      0.1415     0.01415
           2      0.5503     0.04343         100       3.551      0.3551
       2.204      0.9729     0.04343         160       9.395      0.9395
       2.398       1.173     0.07812         250       14.89       2.678
       2.544      0.8759      0.1732         350       7.514       2.997
       2.699       1.091      0.1167         500       12.34       3.316
       5.301       -1.41     0.04343       2e+05      0.0389     0.00389
