#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.332     0.04343        2.15    0.004656   0.0004656
      0.5563      -2.204     0.04343         3.6    0.006257   0.0006257
      0.6532      -2.201     0.04343         4.5    0.006293   0.0006293
      0.7634      -2.344     0.04343         5.8    0.004534   0.0004534
      0.8976      -2.314     0.04354         7.9    0.004848    0.000486
       1.204      -1.359     0.06107          16     0.04379    0.006158
        1.38       -1.45     0.04391          24     0.03552    0.003591
           2      0.3947     0.08019         100       2.481      0.4581
       2.204      0.4409      0.1631         160        2.76       1.036
       2.398      0.4578      0.1659         250       2.869       1.096
