#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.268     0.04343        2.15     0.05395    0.005395
      0.5563      -1.129     0.04343         3.6     0.07432    0.007432
      0.6532      -1.207     0.04343         4.5     0.06215    0.006215
      0.7634      -1.358     0.04343         5.8     0.04386    0.004386
      0.8976      -1.334     0.04343         7.9     0.04635    0.004635
       1.204     -0.4193     0.04343          16      0.3808     0.03808
        1.38     -0.4574     0.04343          24      0.3488     0.03488
           2      0.6199     0.04343         100       4.168      0.4168
       2.204      0.9396     0.04343         160       8.701      0.8701
       2.398       1.118     0.04343         250       13.11       1.311
       2.544       0.934     0.07882         350        8.59       1.559
       5.301      -1.513     0.08771       2e+05      0.0307      0.0062
