#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976       5.301       5.301         7.9         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
           2        5.75        5.75         100       27.48   2.815e+05
       2.204       6.633       6.633         160       53.88   2.148e+06
       2.929       0.569       0.569         850      0.6573       1.525
       3.064      0.2584      0.2584        1160    2.13e-10      0.9065
