#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976      -2.138      -2.138         7.9    0.001991    0.002647
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.242      -1.242          24     0.02547      0.0159
           2      0.2032      0.2032         100   1.792e-05      0.7983
       2.204      0.6708      0.6708         160   1.745e-05       2.343
       2.398      0.8634      0.8634         250       1.846       2.728
       2.544      0.9478      0.9478         350       2.773       3.047
       2.699       1.157       1.157         500       3.706       5.321
       2.929        10.3        10.3         850   5.194e-42       1e+10
       3.064      0.3915      0.3915        1160    2.13e-10       1.232
