#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.784     0.04343        2.15     0.01644    0.001644
      0.5563       -1.51     0.04343         3.6     0.03089    0.003089
      0.6532      -1.614     0.04343         4.5     0.02433    0.002433
      0.7634      -1.586     0.04343         5.8     0.02593    0.002593
      0.8976      -1.643     0.04343         7.9     0.02274    0.002274
       1.204     -0.5872     0.04343          16      0.2587     0.02587
        1.38     -0.5578     0.04343          24      0.2768     0.02768
           2      0.7749     0.04343         100       5.956      0.5956
       2.204       1.031     0.04343         160       10.73       1.073
       2.398       1.021     0.05101         250       10.49       1.232
       2.544      0.6669       0.134         350       4.644       1.433
       5.301      -1.545     0.08838       2e+05      0.0285      0.0058
