#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.788     0.04343        2.15     0.01629    0.001629
      0.5563      -1.829     0.04343         3.6     0.01481    0.001481
      0.6532      -1.983     0.04343         4.5     0.01039    0.001039
      0.7634      -1.987     0.04343         5.8     0.01031    0.001031
      0.8976      -2.091     0.04343         7.9    0.008105   0.0008105
       1.204      -1.352     0.09424          16     0.04444    0.009643
        1.38      -1.258     0.04343          24     0.05526    0.005526
           2      0.1518      0.1025         100       1.418      0.3348
       2.204      0.4199      0.1424         160        2.63      0.8625
       5.301      -1.988       0.119       2e+05     0.01027    0.002815
