#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.5132      0.1376     2.9e-07           0      0.1376
     -0.5032      0.1092   3.783e-07           0      0.1092
     -0.4932     0.08077   5.004e-07           0     0.08077
     -0.4832     0.05236     6.6e-07           0     0.05236
     -0.4732     0.02395   8.719e-07           0     0.02395
     -0.4632   1.232e-06   1.147e-06           0   8.458e-08
     -0.4532   1.538e-06   1.452e-06           0   8.615e-08
     -0.4432   1.915e-06   1.827e-06           0   8.776e-08
     -0.4332   2.282e-06   2.193e-06           0   8.939e-08
     -0.4232   2.759e-06   2.668e-06           0   9.105e-08
     -0.4132   3.292e-06     3.2e-06           0   9.274e-08
     -0.4032   3.932e-06   3.837e-06           0   9.447e-08
     -0.3932   4.594e-06   4.498e-06           0   9.622e-08
     -0.3832    5.54e-06   5.442e-06           0   9.801e-08
     -0.3732   6.615e-06   6.515e-06           0   9.983e-08
     -0.3632   7.803e-06   7.702e-06           0   1.017e-07
     -0.3532   9.139e-06   9.035e-06           0   1.036e-07
     -0.3432   1.057e-05   1.046e-05           0   1.055e-07
     -0.3332   1.211e-05     1.2e-05           0   1.075e-07
     -0.3232   1.383e-05   1.372e-05           0   1.095e-07
     -0.3132   1.577e-05   1.566e-05           0   1.115e-07
     -0.3032   1.811e-05     1.8e-05           0   1.136e-07
     -0.2932   2.055e-05   2.043e-05           0   1.157e-07
     -0.2832   2.338e-05   2.326e-05           0   1.178e-07
     -0.2732   2.678e-05   2.666e-05           0     1.2e-07
     -0.2632   3.096e-05   3.083e-05           0   1.223e-07
     -0.2532    3.51e-05   3.497e-05           0   1.245e-07
     -0.2432   3.979e-05   3.967e-05           0   1.268e-07
     -0.2332   4.473e-05    4.46e-05           0   1.292e-07
     -0.2232   5.001e-05   4.987e-05           0   1.316e-07
     -0.2132    5.55e-05   5.536e-05           0   1.341e-07
     -0.2032   6.149e-05   6.135e-05           0   1.365e-07
     -0.1932   6.806e-05   6.792e-05           0   1.391e-07
     -0.1832   7.507e-05   7.493e-05           0   1.417e-07
     -0.1732   8.272e-05   8.258e-05           0   1.443e-07
     -0.1632   9.109e-05   9.094e-05           0    1.47e-07
     -0.1532   9.995e-05    9.98e-05           0   1.497e-07
     -0.1432   0.0001088   0.0001087           0   1.525e-07
     -0.1332   0.0001186   0.0001184           0   1.553e-07
     -0.1232   0.0001292   0.0001291           0   1.582e-07
     -0.1132   0.0001404   0.0001402           0   1.612e-07
     -0.1032   0.0001523   0.0001521           0   1.642e-07
    -0.09322   0.0001653   0.0001651           0   1.672e-07
    -0.08322   0.0001801   0.0001799           0   1.703e-07
    -0.07322   0.0001954   0.0001952           0   1.735e-07
    -0.06322   0.0002117   0.0002115           0   1.767e-07
    -0.05322   0.0002295   0.0002293           0     1.8e-07
    -0.04322   0.0002476   0.0002474           0   1.833e-07
    -0.03322   0.0002668   0.0002666           0   1.868e-07
    -0.02322   0.0002867   0.0002865           0   1.902e-07
    -0.01322   0.0003092    0.000309           0   1.938e-07
   -0.003218   0.0003429   0.0003427           0   1.974e-07
    0.006782   0.0003729   0.0003727           0    2.01e-07
     0.01678   0.0004097   0.0004095           0   2.048e-07
     0.02678   0.0004598   0.0004596           0   2.086e-07
     0.03678   0.0005158   0.0005156           0   2.125e-07
     0.04678   0.0005754   0.0005752           0   2.164e-07
     0.05678   0.0006378   0.0006375           0   2.204e-07
     0.06678    0.000709   0.0007088           0   2.245e-07
     0.07678   0.0007893   0.0007891           0   2.287e-07
     0.08678   0.0008745   0.0008742           0    2.33e-07
     0.09678   0.0009653    0.000965           0   2.373e-07
      0.1068    0.001062    0.001062           0   2.417e-07
      0.1168    0.001158    0.001158           0   2.462e-07
      0.1268    0.001237    0.001237           0   2.508e-07
      0.1368    0.001337    0.001337           0   2.554e-07
      0.1468    0.001432    0.001432           0   2.602e-07
      0.1568    0.001508    0.001508           0    2.65e-07
      0.1668    0.001584    0.001583           0   2.699e-07
      0.1768    0.001665    0.001665           0    2.75e-07
      0.1868     0.00175     0.00175           0   2.801e-07
      0.1968    0.001834    0.001834           0   2.853e-07
      0.2068     0.00191     0.00191           0   2.906e-07
      0.2168    0.001991    0.001991           0    2.96e-07
      0.2268    0.002077    0.002077           0   3.015e-07
      0.2368    0.002168    0.002168           0   3.071e-07
      0.2468     0.00227     0.00227           0   3.128e-07
      0.2568    0.002375    0.002374           0   3.186e-07
      0.2668    0.002474    0.002473           0   3.245e-07
      0.2768    0.002574    0.002574           0   3.306e-07
      0.2868    0.002685    0.002684           0   3.367e-07
