#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.769      -1.769          24    0.005086     0.00596
           2      0.2493      0.2493         100      0.6057      0.5848
       2.204      0.5212      0.5212         160      0.4853       1.418
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850   5.194e-42       1e+10
       3.064      0.1726      0.1726        1160    2.13e-10      0.7441
       5.301      -2.255      -2.255       2e+05  -0.0004093    0.002985
