#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.54     0.04343        2.15     0.02884    0.002884
      0.5563      -1.455     0.04343         3.6     0.03507    0.003507
      0.6532      -1.619     0.04343         4.5     0.02402    0.002402
      0.7634       -1.65     0.04343         5.8     0.02239    0.002239
      0.8976      -1.641     0.04343         7.9     0.02286    0.002286
       1.204      -1.061     0.04343          16     0.08693    0.008693
        1.38     -0.8312     0.04343          24      0.1475     0.01475
           2      0.5191     0.05075         100       3.304      0.3862
       2.204      0.7059     0.07822         160        5.08      0.9151
       5.301      -1.524     0.04343       2e+05      0.0299     0.00299
