#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.628     0.04343        2.15     0.02355    0.002355
      0.5563      -1.475     0.04343         3.6     0.03349    0.003349
      0.6532      -1.584     0.04343         4.5     0.02604    0.002604
      0.7634      -1.695     0.04343         5.8     0.02018    0.002018
      0.8976      -1.731     0.04343         7.9     0.01857    0.001857
       1.204     -0.8784     0.04343          16      0.1323     0.01323
        1.38     -0.8277     0.04343          24      0.1487     0.01487
           2     0.06375      0.1289         100       1.158      0.3436
       2.204      0.6344     0.07651         160        4.31      0.7592
       2.398      0.7925     0.07537         250       6.202       1.076
       2.544      0.6461      0.1087         350       4.427       1.108
       5.301      -2.052      0.1247       2e+05    0.008874    0.002547
