#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634      -2.714      -2.714         5.8    0.000167    0.000883
      0.8976      -2.297      -2.297         7.9    0.000212    0.002418
       1.204       7.301       7.301          16         -99       1e+07
           2       5.536       5.536         100   1.792e-05   1.717e+05
       2.204       1.197       1.197         160   1.745e-05       7.867
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.076      -2.076       2e+05    0.002727     0.00283
