#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634       5.301       5.301         5.8         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
           2      0.3037      0.3037         100      0.5162      0.7481
       2.204      0.6348      0.6348         160        1.17       1.572
       2.398       1.006       1.006         250       2.918       3.609
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -1.984      -1.984       2e+05      0.0051    0.002642
