#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.812     0.04343        2.15    0.001542   0.0001542
      0.5563      -2.251     0.04343         3.6    0.005616   0.0005616
      0.6532      -2.044     0.04343         4.5    0.009032   0.0009032
      0.7634      -1.841     0.04343         5.8     0.01442    0.001442
      0.8976      -1.771     0.04343         7.9     0.01695    0.001695
       1.204      -1.689      0.1356          16     0.02046    0.006389
        1.38       -1.38     0.04343          24     0.04167    0.004167
           2     0.04159      0.1535         100       1.101      0.3891
       2.398      0.8716      0.1597         250        7.44       2.737
       2.544       1.028      0.1663         350       10.68       4.088
       2.699       1.047      0.1096         500       11.13        2.81
       2.929      0.6155      0.1378         850       4.126       1.309
       3.064      0.3168      0.1202        1160       2.074      0.5741
       5.301      -1.575      0.0849       2e+05      0.0266      0.0052
