#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.852     0.04343        2.15     0.01406    0.001406
      0.5563      -1.737     0.04343         3.6     0.01832    0.001832
      0.6532      -1.751     0.04343         4.5     0.01774    0.001774
      0.7634      -1.936     0.04343         5.8     0.01159    0.001159
      0.8976       -1.83     0.04343         7.9     0.01478    0.001478
       1.204     -0.9266     0.04343          16      0.1184     0.01184
        1.38      -1.046     0.04343          24     0.08992    0.008992
           2       0.144       0.112         100       1.393      0.3592
       2.204      0.5846      0.0828         160       3.842      0.7325
       5.301       -1.97      0.1077       2e+05     0.01071    0.002655
