#      _xxWS        ftot       firac        fagn        fsfr
#
      -0.347       0.205   7.636e-07   5.674e-13       0.205
      -0.337      0.1621   9.963e-07   5.674e-13      0.1621
      -0.327      0.1193   1.318e-06   5.674e-13      0.1193
      -0.317     0.07643   1.738e-06   5.674e-13     0.07643
      -0.307      0.0336   2.296e-06   5.674e-13      0.0336
      -0.297   3.234e-06   3.021e-06   5.674e-13   2.125e-07
      -0.287   4.039e-06   3.823e-06   5.674e-13   2.165e-07
      -0.277   5.033e-06   4.812e-06   5.674e-13   2.205e-07
      -0.267   5.999e-06   5.775e-06   5.674e-13   2.246e-07
      -0.257   7.255e-06   7.026e-06   5.674e-13   2.288e-07
      -0.247    8.66e-06   8.427e-06   5.674e-13   2.331e-07
      -0.237   1.034e-05   1.011e-05   5.674e-13   2.374e-07
      -0.227   1.209e-05   1.185e-05   5.674e-13   2.418e-07
      -0.217   1.458e-05   1.433e-05   5.674e-13   2.463e-07
      -0.207   1.741e-05   1.716e-05   5.674e-13   2.509e-07
      -0.197   2.054e-05   2.028e-05   5.674e-13   2.555e-07
      -0.187   2.406e-05    2.38e-05   5.674e-13   2.603e-07
      -0.177   2.782e-05   2.755e-05   5.674e-13   2.651e-07
      -0.167   3.188e-05   3.161e-05   5.674e-13   2.701e-07
      -0.157   3.641e-05   3.613e-05   5.674e-13   2.751e-07
      -0.147   4.152e-05   4.124e-05   5.674e-13   2.802e-07
      -0.137   4.768e-05    4.74e-05   5.674e-13   2.854e-07
      -0.127   5.411e-05   5.382e-05   5.674e-13   2.907e-07
      -0.117   6.155e-05   6.125e-05   5.674e-13   2.961e-07
      -0.107    7.05e-05    7.02e-05   5.674e-13   3.016e-07
    -0.09702   8.151e-05   8.121e-05   5.674e-13   3.072e-07
    -0.08702   9.241e-05    9.21e-05   5.674e-13   3.129e-07
    -0.07702   0.0001048   0.0001045   5.674e-13   3.188e-07
    -0.06702   0.0001178   0.0001175   5.674e-13   3.247e-07
    -0.05702   0.0001317   0.0001313   5.674e-13   3.307e-07
    -0.04702   0.0001461   0.0001458   5.674e-13   3.369e-07
    -0.03702   0.0001619   0.0001616   5.674e-13   3.431e-07
    -0.02702   0.0001792   0.0001789   5.674e-13   3.495e-07
    -0.01702   0.0001977   0.0001973   5.674e-13    3.56e-07
   -0.007021   0.0002178   0.0002175   5.674e-13   3.626e-07
    0.002979   0.0002399   0.0002395   5.674e-13   3.694e-07
     0.01298   0.0002632   0.0002628   5.674e-13   3.762e-07
     0.02298   0.0002866   0.0002862   5.674e-13   3.832e-07
     0.03298   0.0003123   0.0003119   5.674e-13   3.904e-07
     0.04298   0.0003403   0.0003399   5.674e-13   3.976e-07
     0.05298   0.0003697   0.0003693   5.674e-13    4.05e-07
     0.06298   0.0004011   0.0004006   5.674e-13   4.125e-07
     0.07298   0.0004353   0.0004348   5.674e-13   4.202e-07
     0.08298   0.0004742   0.0004738   5.674e-13    4.28e-07
     0.09298   0.0005146   0.0005141   5.674e-13    4.36e-07
       0.103   0.0005574    0.000557   5.674e-13   4.441e-07
       0.113   0.0006043   0.0006039   5.674e-13   4.523e-07
       0.123   0.0006519   0.0006515   5.674e-13   4.607e-07
       0.133   0.0007027   0.0007022   5.674e-13   4.693e-07
       0.143   0.0007551   0.0007546   5.674e-13    4.78e-07
       0.153   0.0008142   0.0008137   5.674e-13   4.869e-07
       0.163   0.0009029   0.0009024   5.674e-13    4.96e-07
       0.173    0.000982   0.0009815   5.674e-13   5.052e-07
       0.183    0.001079    0.001078   5.674e-13   5.146e-07
       0.193    0.001211     0.00121   5.674e-13   5.241e-07
       0.203    0.001358    0.001358   5.674e-13   5.339e-07
       0.213    0.001515    0.001515   5.674e-13   5.438e-07
       0.223     0.00168    0.001679   5.674e-13   5.539e-07
       0.233    0.001867    0.001867   5.674e-13   5.642e-07
       0.243    0.002079    0.002078   5.674e-13   5.747e-07
       0.253    0.002303    0.002302   5.674e-13   5.854e-07
       0.263    0.002542    0.002541   5.674e-13   5.963e-07
       0.273    0.002796    0.002796   5.674e-13   6.074e-07
       0.283    0.003051     0.00305   5.674e-13   6.187e-07
       0.293    0.003259    0.003258   5.674e-13   6.302e-07
       0.303    0.003521     0.00352   5.674e-13   6.419e-07
       0.313    0.003771    0.003771   5.674e-13   6.538e-07
       0.323    0.003971     0.00397   5.674e-13    6.66e-07
       0.333    0.004171     0.00417   5.674e-13   6.784e-07
       0.343    0.004385    0.004384   5.674e-13    6.91e-07
       0.353    0.004609    0.004608   5.674e-13   7.038e-07
       0.363    0.004831     0.00483   5.674e-13   7.169e-07
       0.373     0.00503    0.005029   5.674e-13   7.302e-07
       0.383    0.005244    0.005243   5.674e-13   7.438e-07
       0.393     0.00547    0.005469   5.674e-13   7.576e-07
       0.403    0.005711     0.00571   5.674e-13   7.717e-07
       0.413    0.005979    0.005978   5.674e-13   7.861e-07
       0.423    0.006254    0.006253   5.674e-13   8.007e-07
       0.433    0.006515    0.006514   5.674e-13   8.156e-07
       0.443     0.00678    0.006779   5.674e-13   8.307e-07
       0.453     0.00707    0.007069   5.674e-13   8.462e-07
       0.463    0.007377    0.007376   5.674e-13   8.619e-07
       0.473    0.007673    0.007672   5.674e-13   8.779e-07
       0.483     0.00798    0.007979   5.674e-13   8.942e-07
       0.493    0.008286    0.008285   5.674e-13   9.109e-07
       0.503    0.008615    0.008614   5.674e-13   9.278e-07
       0.513    0.008921     0.00892   5.674e-13    9.45e-07
       0.523    0.009302    0.009301   5.674e-13   9.626e-07
       0.533     0.00969    0.009689   5.674e-13   9.805e-07
       0.543      0.0101      0.0101   5.674e-13   9.987e-07
       0.553     0.01051      0.0105   5.674e-13   1.017e-06
       0.563     0.01087     0.01087   5.674e-13   1.036e-06
       0.573     0.01131     0.01131   5.674e-13   1.055e-06
       0.583     0.01175     0.01175   5.674e-13   1.075e-06
       0.593     0.01217     0.01217   5.674e-13   1.095e-06
       0.603     0.01262     0.01262   5.674e-13   1.115e-06
       0.613     0.01309     0.01309   5.674e-13   1.136e-06
       0.623     0.01348     0.01348   5.674e-13   1.157e-06
       0.633     0.01396     0.01392   5.674e-13   3.947e-05
       0.643     0.01449     0.01438   5.674e-13   0.0001021
       0.653      0.0149     0.01474   5.674e-13   0.0001598
       0.663     0.01531      0.0151   5.674e-13   0.0002159
       0.673      0.0157     0.01543   5.674e-13    0.000274
       0.683     0.01611     0.01577   5.674e-13   0.0003339
       0.693     0.01659      0.0162   5.674e-13   0.0003872
       0.703     0.01697     0.01655   5.674e-13    0.000428
       0.713     0.01736      0.0169   5.674e-13   0.0004566
       0.723     0.01775     0.01728   5.674e-13   0.0004715
       0.733     0.01803     0.01757   5.674e-13   0.0004644
       0.743     0.01835     0.01789   5.674e-13   0.0004641
       0.753     0.01877     0.01829   5.674e-13   0.0004763
       0.763     0.01915     0.01866   5.674e-13   0.0004933
       0.773     0.01962     0.01911   5.674e-13   0.0005116
       0.783     0.02003      0.0195   5.674e-13   0.0005285
       0.793     0.02046     0.01992   5.674e-13   0.0005413
       0.803     0.02092     0.02037   5.674e-13   0.0005462
       0.813     0.02144      0.0209   5.674e-13   0.0005434
       0.823     0.02193     0.02139   5.674e-13   0.0005415
       0.833     0.02238     0.02184   5.674e-13   0.0005458
       0.843     0.02269     0.02214   5.674e-13   0.0005553
       0.853     0.02297      0.0224   5.674e-13   0.0005669
       0.863      0.0234     0.02282   5.674e-13   0.0005794
       0.873     0.02363     0.02303   5.674e-13   0.0005966
       0.883     0.02388     0.02326   5.674e-13   0.0006195
       0.893     0.02402     0.02337   5.674e-13   0.0006471
       0.903     0.02409     0.02341   5.674e-13   0.0006782
       0.913     0.02413     0.02342   5.674e-13   0.0007121
       0.923     0.02403     0.02328   5.674e-13   0.0007486
       0.933     0.02386     0.02308   5.674e-13   0.0007876
       0.943     0.02344     0.02261   5.674e-13    0.000829
       0.953     0.02306     0.02219   5.674e-13   0.0008732
       0.963     0.02268     0.02176   5.674e-13   0.0009206
       0.973     0.02214     0.02117   5.674e-13   0.0009723
       0.983     0.02148     0.02045   5.674e-13     0.00103
       0.993     0.02084     0.01974   5.674e-13    0.001093
       1.003     0.02042     0.01927   5.674e-13    0.001158
       1.013     0.01993     0.01871   5.674e-13    0.001223
       1.023     0.01959      0.0183   5.674e-13     0.00129
       1.033     0.01922     0.01786   5.674e-13     0.00136
       1.043     0.01953     0.01739   0.0007058    0.001435
       1.053      0.0191     0.01687    0.000713     0.00152
       1.063     0.01863     0.01629    0.000722    0.001622
       1.073     0.01835     0.01586   0.0007334    0.001759
       1.083     0.01811     0.01536   0.0007479    0.002005
       1.093     0.01838     0.01485   0.0007661    0.002764
       1.103     0.02591     0.01461   0.0007887      0.0105
       1.113     0.02658     0.01454   0.0008162     0.01122
       1.123     0.02673     0.01441   0.0008494     0.01146
       1.133     0.02664     0.01412   0.0008889     0.01163
       1.143     0.02652     0.01381   0.0009353     0.01177
       1.153     0.02623     0.01335   0.0009893      0.0119
       1.163      0.0259     0.01283    0.001051     0.01202
       1.173     0.02563     0.01237    0.001123     0.01214
       1.183     0.02552     0.01206    0.001203     0.01226
       1.193     0.02548     0.01182    0.001294     0.01237
       1.203     0.02545      0.0116    0.001395     0.01245
       1.213     0.02537     0.01142    0.001508     0.01244
       1.223     0.02471     0.01114    0.001633     0.01193
       1.233     0.01706     0.01083    0.001771    0.004465
       1.243     0.01639     0.01042    0.001922    0.004049
       1.253     0.01617    0.009957    0.002086    0.004128
