#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324        -2.3     0.04343        2.15    0.005012   0.0005012
      0.6532       -1.57     0.04343         4.5      0.0269     0.00269
      0.8976      -1.623     0.04343         7.9     0.02384    0.002384
        1.38     -0.7153     0.04343          24      0.1926     0.01926
           2      0.5412     0.06135         100       3.477      0.4911
       2.204      0.9743      0.0652         160       9.426       1.415
       2.398       1.512     0.05473         250        32.5       4.095
       2.544       1.574     0.04952         350       37.47       4.272
       2.699       1.555     0.04343         500       35.88       3.588
       3.064      0.5409      0.1468        1160       3.475       1.174
       5.301      -1.331     0.06231       2e+05      0.0467      0.0067
