#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -0.68     0.04343        2.15      0.2089     0.02089
      0.5563     -0.9957     0.04343         3.6       0.101      0.0101
      0.6532      -1.017     0.04343         4.5     0.09608    0.009608
      0.7634       -1.17     0.04343         5.8     0.06757    0.006757
      0.8976     -0.6552     0.04343         7.9      0.2212     0.02212
       1.204     -0.4195     0.04343          16      0.3806     0.03806
        1.38     -0.3789     0.04343          24      0.4179     0.04179
           2       1.137     0.04343         100       13.71       1.371
       2.204       1.354     0.04343         160       22.58       2.258
       2.398       1.208     0.07684         250       16.14       2.855
       2.544       1.036      0.0767         350       10.86       1.919
       5.301      -1.204     0.05489       2e+05      0.0625      0.0079
