#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.576     0.04343        2.15    0.002655   0.0002655
      0.5563      -1.881     0.04343         3.6     0.01315    0.001315
      0.6532      -1.882     0.04343         4.5     0.01312    0.001312
      0.7634      -1.784     0.04343         5.8     0.01643    0.001643
      0.8976      -1.768     0.04343         7.9     0.01706    0.001706
       1.204      -1.361     0.07038          16     0.04351    0.007051
        1.38     -0.9073     0.04343          24      0.1238     0.01238
           2      0.4164     0.05541         100       2.609      0.3328
       2.204      0.8074     0.05102         160       6.417       0.754
       2.398      0.9807     0.07737         250       9.565       1.704
       2.699       1.107      0.1963         500       12.79       5.783
       5.301       -1.78     0.07473       2e+05     0.01661    0.002858
