#      _xxWS        ftot       firac        fagn        fsfr
#
      -0.297      0.7504   1.793e-05           0      0.7503
      -0.287      0.5995   2.095e-05           0      0.5994
      -0.277      0.4486   2.487e-05           0      0.4485
      -0.267      0.2977   2.951e-05           0      0.2976
      -0.257      0.1468   3.516e-05           0      0.1467
      -0.247   4.296e-05   4.183e-05           0   1.135e-06
      -0.237   4.911e-05   4.795e-05           0   1.156e-06
      -0.227   5.599e-05   5.481e-05           0   1.178e-06
      -0.217   6.107e-05   5.987e-05           0     1.2e-06
      -0.207   6.766e-05   6.644e-05           0   1.222e-06
      -0.197   7.408e-05   7.283e-05           0   1.245e-06
      -0.187   8.126e-05   7.999e-05           0   1.268e-06
      -0.177   8.734e-05   8.605e-05           0   1.292e-06
      -0.167   9.704e-05   9.572e-05           0   1.316e-06
      -0.157   0.0001069   0.0001056           0    1.34e-06
      -0.147   0.0001166   0.0001152           0   1.365e-06
      -0.137   0.0001264    0.000125           0    1.39e-06
      -0.127   0.0001355    0.000134           0   1.416e-06
      -0.117   0.0001441   0.0001427           0   1.443e-06
      -0.107   0.0001531   0.0001516           0   1.469e-06
    -0.09696   0.0001626   0.0001611           0   1.497e-06
    -0.08696   0.0001742   0.0001727           0   1.525e-06
    -0.07696   0.0001847   0.0001831           0   1.553e-06
    -0.06696   0.0001966    0.000195           0   1.582e-06
    -0.05696    0.000211   0.0002094           0   1.611e-06
    -0.04696   0.0002289   0.0002273           0   1.641e-06
    -0.03696   0.0002439   0.0002422           0   1.672e-06
    -0.02696   0.0002602   0.0002585           0   1.703e-06
    -0.01696   0.0002756   0.0002739           0   1.734e-06
   -0.006959   0.0002908    0.000289           0   1.767e-06
    0.003041   0.0003049   0.0003031           0   1.799e-06
     0.01304   0.0003197   0.0003178           0   1.833e-06
     0.02304   0.0003351   0.0003333           0   1.867e-06
     0.03304   0.0003506   0.0003487           0   1.902e-06
     0.04304   0.0003669   0.0003649           0   1.937e-06
     0.05304    0.000384   0.0003821           0   1.973e-06
     0.06304   0.0004011   0.0003991           0    2.01e-06
     0.07304   0.0004161   0.0004141           0   2.047e-06
     0.08304   0.0004326   0.0004305           0   2.085e-06
     0.09304   0.0004501    0.000448           0   2.124e-06
       0.103   0.0004674   0.0004652           0   2.163e-06
       0.113   0.0004852    0.000483           0   2.204e-06
       0.123   0.0005044   0.0005021           0   2.245e-06
       0.133   0.0005268   0.0005245           0   2.286e-06
       0.143   0.0005486   0.0005463           0   2.329e-06
       0.153   0.0005709   0.0005685           0   2.372e-06
       0.163   0.0005951   0.0005927           0   2.416e-06
       0.173   0.0006178   0.0006153           0   2.461e-06
       0.183   0.0006413   0.0006388           0   2.507e-06
       0.193   0.0006644   0.0006618           0   2.553e-06
       0.203   0.0006911   0.0006885           0   2.601e-06
       0.213     0.00074   0.0007374           0   2.649e-06
       0.223   0.0007777    0.000775           0   2.699e-06
       0.233   0.0008263   0.0008236           0   2.749e-06
       0.243   0.0008974   0.0008946           0     2.8e-06
       0.253   0.0009749   0.0009721           0   2.852e-06
       0.263    0.001054    0.001051           0   2.905e-06
       0.273    0.001133     0.00113           0   2.959e-06
       0.283    0.001223     0.00122           0   3.014e-06
       0.293    0.001322    0.001319           0    3.07e-06
       0.303    0.001423     0.00142           0   3.127e-06
       0.313    0.001528    0.001525           0   3.185e-06
       0.323    0.001636    0.001632           0   3.244e-06
       0.333    0.001737    0.001734           0   3.305e-06
       0.343    0.001809    0.001805           0   3.366e-06
       0.353    0.001905    0.001901           0   3.429e-06
       0.363     0.00199    0.001987           0   3.492e-06
       0.373    0.002046    0.002042           0   3.557e-06
       0.383    0.002098    0.002095           0   3.624e-06
       0.393    0.002156    0.002152           0   3.691e-06
       0.403    0.002215    0.002211           0    3.76e-06
       0.413    0.002271    0.002267           0   3.829e-06
       0.423    0.002314     0.00231           0   3.901e-06
       0.433    0.002362    0.002358           0   3.973e-06
       0.443    0.002414     0.00241           0   4.047e-06
       0.453     0.00247    0.002466           0   4.122e-06
       0.463    0.002536    0.002531           0   4.199e-06
       0.473    0.002602    0.002597           0   4.277e-06
       0.483     0.00266    0.002655           0   4.356e-06
       0.493    0.002718    0.002713           0   4.437e-06
       0.503    0.002784    0.002779           0    4.52e-06
       0.513    0.002854    0.002849           0   4.604e-06
       0.523    0.002918    0.002913           0    4.69e-06
       0.533    0.002984    0.002979           0   4.777e-06
       0.543    0.003048    0.003044           0   4.866e-06
       0.553    0.003119    0.003114           0   4.956e-06
       0.563     0.00318    0.003175           0   5.048e-06
       0.573    0.003265     0.00326           0   5.142e-06
       0.583    0.003351    0.003346           0   5.238e-06
       0.593    0.003443    0.003438           0   5.335e-06
       0.603     0.00353    0.003524           0   5.434e-06
       0.613    0.003601    0.003595           0   5.535e-06
       0.623    0.003696    0.003691           0   5.638e-06
       0.633    0.003791    0.003785           0   5.743e-06
       0.643    0.003876     0.00387           0    5.85e-06
       0.653    0.003966     0.00396           0   5.958e-06
       0.663    0.004063    0.004057           0   6.069e-06
       0.673    0.004134    0.004128           0   6.182e-06
       0.683    0.004246    0.004213           0   3.224e-05
       0.693    0.004364    0.004303           0   6.063e-05
       0.703    0.004448    0.004361           0   8.678e-05
       0.713    0.004529    0.004417           0    0.000112
       0.723    0.004604    0.004466           0    0.000138
       0.733    0.004682    0.004518           0   0.0001645
       0.743     0.00478    0.004592           0   0.0001879
       0.753    0.004849    0.004643           0   0.0002057
       0.763    0.004915    0.004697           0   0.0002182
       0.773    0.004979    0.004755           0   0.0002246
       0.783     0.00501    0.004789           0   0.0002211
       0.793    0.005053    0.004832           0   0.0002208
       0.803    0.005123    0.004897           0    0.000226
       0.813    0.005185    0.004952           0   0.0002333
       0.823    0.005267    0.005026           0   0.0002412
       0.833    0.005336    0.005087           0   0.0002485
       0.843    0.005409    0.005155           0   0.0002539
       0.853    0.005486     0.00523           0    0.000256
       0.863    0.005577    0.005322           0   0.0002547
       0.873     0.00566    0.005406           0   0.0002538
       0.883    0.005733    0.005477           0   0.0002556
       0.893    0.005772    0.005513           0   0.0002596
       0.903    0.005804     0.00554           0   0.0002645
       0.913    0.005872    0.005602           0   0.0002699
       0.923    0.005894    0.005617           0    0.000277
       0.933    0.005921    0.005635           0   0.0002865
       0.943    0.005923    0.005625           0   0.0002977
       0.953     0.00591    0.005599           0   0.0003103
       0.963    0.005889    0.005565           0    0.000324
       0.973    0.005837    0.005499           0   0.0003386
       0.983    0.005773    0.005419           0   0.0003541
       0.993    0.005649    0.005278           0   0.0003706
       1.003    0.005539    0.005151           0   0.0003882
       1.013    0.005429    0.005022           0    0.000407
       1.023    0.005287     0.00486           0   0.0004275
       1.033    0.005122    0.004672           0   0.0004504
       1.043    0.004961    0.004486           0   0.0004756
       1.053    0.004857    0.004355           0   0.0005016
       1.063    0.004737    0.004209           0   0.0005278
       1.073    0.004653    0.004098           0    0.000555
       1.083    0.004563    0.003979           0    0.000584
       1.093    0.004473    0.003857           0   0.0006158
       1.103    0.004376    0.003724           0   0.0006521
       1.113    0.004277    0.003581           0   0.0006961
       1.123    0.004227    0.003471           0   0.0007556
       1.133    0.004208    0.003348           0   0.0008601
       1.143    0.004398    0.003224           0    0.001173
       1.153    0.007449     0.00316           0    0.004289
       1.163    0.007719    0.003132           0    0.004587
       1.173    0.007795    0.003092           0    0.004702
       1.183    0.007808    0.003018           0    0.004789
       1.193    0.007812    0.002942           0     0.00487
       1.203    0.007784    0.002832           0    0.004952
       1.213     0.00775    0.002712           0    0.005038
       1.223    0.007738    0.002607           0    0.005131
       1.233    0.007766    0.002533           0    0.005232
       1.243    0.007815    0.002475           0    0.005341
       1.253    0.007873    0.002421           0    0.005452
       1.263    0.007915    0.002376           0    0.005539
       1.273    0.007753    0.002311           0    0.005442
       1.283     0.00481    0.002239           0    0.002571
       1.293    0.004699    0.002149           0     0.00255
       1.303    0.004798    0.002047           0    0.002751
       1.313    0.004983    0.001959           0    0.003024
       1.323    0.005234    0.001874           0    0.003359
       1.333    0.005567    0.001802           0    0.003766
       1.343    0.006028    0.001738           0     0.00429
       1.353    0.006785    0.001678           0    0.005107
       1.363    0.007494    0.001615           0    0.005879
       1.373    0.008268    0.001551           0    0.006717
       1.383    0.009452    0.001485           0    0.007968
       1.393     0.01096    0.001412           0    0.009545
       1.403     0.01248    0.001362           0     0.01112
       1.413     0.01498    0.001318           0     0.01366
       1.423     0.02276    0.001282           0     0.02148
       1.433     0.02917    0.001245           0     0.02792
       1.443     0.03259    0.001206           0     0.03138
       1.453      0.0361    0.001168           0     0.03493
       1.463     0.03996    0.001132           0     0.03883
       1.473     0.04392    0.001096           0     0.04283
       1.483     0.04855     0.00106           0     0.04749
       1.493     0.05529    0.001026           0     0.05426
       1.503     0.06617   0.0009903           0     0.06518
       1.513     0.08478   0.0009545           0     0.08383
       1.523       0.104   0.0009205           0      0.1031
       1.533      0.1204   0.0008853           0      0.1195
       1.543      0.1296   0.0008517           0      0.1288
       1.553       0.132   0.0008183           0      0.1312
       1.563      0.1377   0.0007881           0       0.137
       1.573       0.146   0.0007596           0      0.1452
       1.583      0.1504   0.0007344           0      0.1497
       1.593      0.1535   0.0007088           0      0.1528
       1.603      0.1563   0.0006859           0      0.1556
       1.613      0.1583    0.000664           0      0.1576
       1.623      0.1585   0.0006422           0      0.1579
       1.633      0.1549   0.0006214           0      0.1543
       1.643      0.1436   0.0006002           0       0.143
       1.653      0.1322   0.0005783           0      0.1316
       1.663      0.1249   0.0005561           0      0.1243
       1.673      0.1269   0.0005339           0      0.1263
       1.683      0.1513   0.0005119           0      0.1508
       1.693      0.1636   0.0004895           0      0.1631
       1.703      0.1708   0.0004668           0      0.1703
       1.713      0.1847   0.0004428           0      0.1843
       1.723      0.1993   0.0004197           0      0.1989
       1.733      0.2211   0.0003959           0      0.2207
       1.743      0.2371   0.0003721           0      0.2368
       1.753      0.2503   0.0003484           0      0.2499
       1.763      0.2652   0.0003253           0      0.2649
       1.773      0.2777   0.0003037           0      0.2774
       1.783      0.2906   0.0002837           0      0.2903
       1.793      0.3021   0.0002652           0      0.3018
       1.803      0.3115    0.000248           0      0.3112
       1.813      0.3017   0.0002322           0      0.3015
       1.823      0.3046   0.0002176           0      0.3044
       1.833      0.3164   0.0002042           0      0.3162
       1.843      0.3297    0.000192           0      0.3295
       1.853      0.3511   0.0001807           0       0.351
       1.863      0.3698   0.0001705           0      0.3696
       1.873      0.3979   0.0001612           0      0.3977
       1.883      0.4264   0.0001528           0      0.4263
       1.893      0.4531   0.0001452           0      0.4529
       1.903      0.4841   0.0001382           0       0.484
       1.913      0.5177    0.000132           0      0.5175
       1.923      0.5526   0.0001263           0      0.5525
       1.933      0.5892   0.0001211           0       0.589
       1.943      0.6268   0.0001164           0      0.6266
       1.953      0.6654    0.000112           0      0.6653
       1.963      0.7043    0.000108           0      0.7042
       1.973      0.7428   0.0001043           0      0.7427
       1.983      0.7781   0.0001007           0       0.778
       1.993       0.814   9.737e-05           0      0.8139
       2.003      0.8522   9.415e-05           0      0.8521
       2.013      0.8992   9.104e-05           0      0.8991
       2.023      0.9537   8.802e-05           0      0.9536
       2.033       1.014   8.506e-05           0       1.014
       2.043       1.082   8.215e-05           0       1.081
       2.053       1.159   7.927e-05           0       1.159
       2.063       1.248   7.643e-05           0       1.248
       2.073       1.349   7.363e-05           0       1.349
       2.083       1.466   7.086e-05           0       1.466
       2.093       1.599   6.813e-05           0       1.599
       2.103       1.751   6.545e-05           0       1.751
       2.113       1.925   6.281e-05           0       1.925
       2.123       2.122   6.022e-05           0       2.122
       2.133       2.345   5.768e-05           0       2.345
