#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.436      -2.436         5.8    0.001744    0.000959
      0.8976      -2.708      -2.708         7.9    0.000116    0.000922
       1.204       7.301       7.301          16         -99       1e+07
           2      0.2907      0.2907         100      0.3478      0.8025
       2.204       0.854       0.854         160       2.898       2.124
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.048      -2.048       2e+05    0.003356    0.002795
