#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.468     0.04343        2.15    0.003404   0.0003404
      0.5563      -2.216     0.04343         3.6    0.006086   0.0006086
      0.6532      -2.128     0.04343         4.5    0.007447   0.0007447
      0.7634      -2.092     0.04343         5.8    0.008096   0.0008096
      0.8976      -2.179     0.04343         7.9    0.006621   0.0006621
       1.204      -1.483     0.09812          16      0.0329    0.007433
        1.38       -1.07     0.04343          24     0.08507    0.008507
           2      0.5226     0.04514         100       3.331      0.3463
       2.204       0.939     0.04343         160        8.69       0.869
       2.398        1.03     0.05251         250       10.71       1.295
       2.544       0.845      0.1332         350       6.998       2.146
       3.064      0.2313      0.1523        1160       1.703      0.5972
       5.301      -1.183     0.07613       2e+05      0.0656      0.0115
