#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.028     0.04343        2.15     0.09376    0.009376
      0.5563      -1.046     0.04343         3.6     0.08986    0.008986
      0.6532      -1.202     0.04343         4.5     0.06275    0.006275
      0.7634      -1.259     0.04343         5.8     0.05509    0.005509
      0.8976      -1.382     0.04343         7.9     0.04153    0.004153
       1.204     -0.6155     0.04343          16      0.2424     0.02424
        1.38     -0.5206     0.04343          24      0.3016     0.03016
           2      0.4045     0.06041         100       2.538      0.3531
       2.204      0.8231     0.04909         160       6.654      0.7522
       2.398        1.04     0.07057         250       10.97       1.783
       2.544       1.075      0.1211         350       11.89       3.317
       5.301      -2.087      0.1358       2e+05    0.008182    0.002558
