#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563       -1000       -1000         3.6   -0.000319    0.000116
      0.7634      -2.674      -2.674         5.8    -0.00031    0.001213
      0.8976       -2.74       -2.74         7.9    -0.00071    0.001265
       1.204       7.301       7.301          16         -99       1e+07
           2       0.154       0.154         100      0.2681      0.5787
       2.398      0.4666      0.4666         250   3.209e-07       1.464
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.5671      0.5671         850      0.2711        1.71
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.157      -2.157       2e+05    0.001699    0.002634
