#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.6885      0.2777   1.291e-05    1.38e-12      0.2777
     -0.6785      0.2201   1.593e-05    1.38e-12      0.2201
     -0.6685      0.1624   1.997e-05    1.38e-12      0.1624
     -0.6585      0.1048   2.498e-05    1.38e-12      0.1048
     -0.6485     0.04718   3.134e-05    1.38e-12     0.04715
     -0.6385   3.925e-05   3.921e-05    1.38e-12    4.18e-08
     -0.6285   4.726e-05   4.722e-05    1.38e-12   4.257e-08
     -0.6185   5.669e-05   5.665e-05    1.38e-12   4.337e-08
     -0.6085    6.49e-05   6.485e-05    1.38e-12   4.417e-08
     -0.5985    7.54e-05   7.536e-05    1.38e-12   4.499e-08
     -0.5885   8.645e-05    8.64e-05    1.38e-12   4.583e-08
     -0.5785   9.921e-05   9.917e-05    1.38e-12   4.668e-08
     -0.5685   0.0001114   0.0001114    1.38e-12   4.755e-08
     -0.5585   0.0001292   0.0001292    1.38e-12   4.843e-08
     -0.5485   0.0001485   0.0001485    1.38e-12   4.933e-08
     -0.5385   0.0001686   0.0001686    1.38e-12   5.025e-08
     -0.5285   0.0001902   0.0001902    1.38e-12   5.119e-08
     -0.5185    0.000212    0.000212    1.38e-12   5.214e-08
     -0.5085   0.0002343   0.0002342    1.38e-12   5.311e-08
     -0.4985   0.0002582   0.0002581    1.38e-12   5.409e-08
     -0.4885   0.0002844   0.0002843    1.38e-12    5.51e-08
     -0.4785   0.0003156   0.0003156    1.38e-12   5.612e-08
     -0.4685   0.0003463   0.0003463    1.38e-12   5.717e-08
     -0.4585   0.0003813   0.0003812    1.38e-12   5.823e-08
     -0.4485   0.0004229   0.0004229    1.38e-12   5.931e-08
     -0.4385   0.0004739   0.0004738    1.38e-12   6.042e-08
     -0.4285    0.000521   0.0005209    1.38e-12   6.154e-08
     -0.4185   0.0005732   0.0005732    1.38e-12   6.268e-08
     -0.4085   0.0006257   0.0006256    1.38e-12   6.385e-08
     -0.3985   0.0006796   0.0006796    1.38e-12   6.504e-08
     -0.3885   0.0007333   0.0007332    1.38e-12   6.624e-08
     -0.3785   0.0007905   0.0007904    1.38e-12   6.748e-08
     -0.3685   0.0008516   0.0008516    1.38e-12   6.873e-08
     -0.3585    0.000915    0.000915    1.38e-12   7.001e-08
     -0.3485   0.0009826   0.0009826    1.38e-12   7.131e-08
     -0.3385    0.001055    0.001055    1.38e-12   7.264e-08
     -0.3285     0.00113     0.00113    1.38e-12   7.399e-08
     -0.3185    0.001201    0.001201    1.38e-12   7.536e-08
     -0.3085    0.001278    0.001278    1.38e-12   7.676e-08
     -0.2985    0.001361    0.001361    1.38e-12   7.819e-08
     -0.2885    0.001446    0.001446    1.38e-12   7.964e-08
     -0.2785    0.001534    0.001534    1.38e-12   8.112e-08
