#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634       -1000       -1000         5.8   -0.001707    0.000738
      0.8976      -2.569      -2.569         7.9    0.001255    0.000721
       1.204       7.301       7.301          16         -99       1e+07
       2.204      0.3488      0.3488         160   1.745e-05       1.116
       2.398      0.7455      0.7455         250      0.2136       2.676
       2.544      0.9471      0.9471         350      0.3999       4.226
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.6824      0.6824         850       1.789       1.512
       3.064       0.497       0.497        1160       1.555      0.7928
       5.301      -1.971      -1.971       2e+05    0.005276    0.002712
