#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.7634      -3.358      -3.358         5.8   -0.000387    0.000413
      0.8976       -2.73       -2.73         7.9    0.000922    0.000471
       1.204      -1.568      -1.568          16   1.903e-10     0.01352
        1.38       -1.83       -1.83          24   8.071e-11    0.007393
           2    -0.03951    -0.03951         100   1.792e-05      0.4565
       2.204      0.5277      0.5277         160      0.8126       1.279
       2.398      0.8255      0.8255         250       1.675       2.508
       2.544      0.9933      0.9933         350   2.905e-07       4.924
       2.699       1.194       1.194         500       4.255       5.688
       2.929      0.5574      0.5574         850   2.068e-10       1.805
       3.064      0.5458      0.5458        1160       1.051       1.232
