#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -3.052     0.04343        2.15   0.0008872   8.872e-05
      0.5563      -2.655     0.04343         3.6    0.002213   0.0002213
      0.6532      -2.475     0.04343         4.5    0.003352   0.0003352
      0.7634      -2.348     0.04343         5.8    0.004489   0.0004489
      0.8976      -2.135     0.04343         7.9    0.007332   0.0007332
        1.38      -1.576     0.04625          24     0.02653    0.002825
           2     -0.1442       0.204         100      0.7175      0.3371
       2.699      0.7944      0.1428         500       6.228       2.048
       3.064       0.107      0.1678        1160       1.279      0.4943
       5.301      -2.104      0.1424       2e+05    0.007865    0.002578
