#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.336     0.04343        2.15     0.04613    0.004613
      0.6532      -1.546     0.04343         4.5     0.02846    0.002846
      0.8976      -1.224     0.04343         7.9     0.05973    0.005973
        1.38     -0.8074     0.04343          24      0.1558     0.01558
           2      0.6118     0.06082         100       4.091      0.5729
       2.204      0.6838       0.147         160       4.828       1.634
       2.398      0.9788      0.1271         250       9.523       2.787
       2.544       1.067      0.1481         350       11.66       3.975
       5.301      -1.993      0.1099       2e+05     0.01017    0.002574
