#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.548     0.04343        2.15     0.02831    0.002831
      0.5563      -1.496     0.04343         3.6     0.03189    0.003189
      0.6532      -1.623     0.04343         4.5     0.02382    0.002382
      0.7634      -1.577     0.04343         5.8     0.02651    0.002651
      0.8976      -1.693     0.04343         7.9     0.02027    0.002027
       1.204     -0.9333     0.05933          16      0.1166     0.01593
        1.38     -0.7951     0.04343          24      0.1603     0.01603
           2      0.5876     0.05122         100       3.869      0.4562
       2.204       0.853     0.06551         160       7.128       1.075
       2.398      0.7467      0.1178         250        5.58       1.514
       5.301       -1.89     0.08905       2e+05     0.01288    0.002641
