#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.032     0.04343        2.15     0.00929    0.000929
      0.5563      -1.742     0.04343         3.6     0.01811    0.001811
      0.6532      -1.657     0.04343         4.5     0.02202    0.002202
      0.7634       -1.55     0.04343         5.8     0.02821    0.002821
      0.8976       -1.69     0.04343         7.9     0.02042    0.002042
        1.38     -0.6267     0.04343          24      0.2362     0.02362
           2       0.299     0.08576         100       1.991      0.3931
       2.204      0.6372     0.07776         160       4.337      0.7765
       2.398      0.8565     0.09526         250       7.186       1.576
       2.544        0.79      0.1002         350       6.166       1.423
       5.301       -1.71     0.06459       2e+05      0.0195      0.0029
