#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -3.234      -3.234         5.8   -0.000277     0.00043
      0.8976      -2.728      -2.728         7.9     0.00085     0.00051
        1.38      -1.957      -1.957          24   0.0001954    0.005424
           2    -0.06766    -0.06766         100   1.792e-05      0.4279
       2.204      0.2845      0.2845         160   1.745e-05      0.9626
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
