#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.096     0.04343        2.15    0.008017   0.0008017
      0.5563      -2.087     0.04343         3.6    0.008192   0.0008192
      0.6532      -2.103     0.04343         4.5    0.007883   0.0007883
      0.7634      -2.073     0.04343         5.8    0.008457   0.0008457
      0.8976      -2.023     0.04343         7.9    0.009477   0.0009477
       1.204      -1.655       0.126          16     0.02212    0.006419
        1.38      -1.533     0.08983          24     0.02928    0.006056
           2      0.2171     0.08817         100       1.648      0.3347
       2.204      0.2118      0.1937         160       1.629      0.7265
       5.301      -1.943     0.09611       2e+05     0.01141    0.002525
