#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -0.124     0.04343        2.15      0.7516     0.07516
      0.5563     -0.4646     0.04343         3.6      0.3431     0.03431
      0.6532       -0.67     0.04343         4.5      0.2138     0.02138
      0.7634     -0.8245     0.04343         5.8      0.1498     0.01498
      0.8976       -1.07     0.04343         7.9     0.08521    0.008521
       1.204      -1.603      0.1418          16     0.02492    0.008138
        1.38      -1.357     0.04343          24     0.04397    0.004397
       2.204      0.6043      0.1201         160       4.021       1.112
