#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.6945     0.05339    1.98e-11   2.007e-13     0.05339
     -0.6845     0.04265   3.224e-11   2.007e-13     0.04265
     -0.6745     0.03192   5.293e-11   2.007e-13     0.03192
     -0.6645     0.02118   8.624e-11   2.007e-13     0.02118
     -0.6545     0.01044   1.401e-10   2.007e-13     0.01044
     -0.6445    1.91e-08   2.255e-10   2.007e-13   1.887e-08
     -0.6345   1.957e-08   3.475e-10   2.007e-13   1.922e-08
     -0.6245   2.011e-08   5.304e-10   2.007e-13   1.958e-08
     -0.6145   2.071e-08   7.685e-10   2.007e-13   1.994e-08
     -0.6045   2.144e-08   1.124e-09   2.007e-13   2.031e-08
     -0.5945    2.23e-08   1.614e-09   2.007e-13   2.069e-08
     -0.5845   2.338e-08   2.307e-09   2.007e-13   2.107e-08
     -0.5745   2.468e-08   3.211e-09   2.007e-13   2.147e-08
     -0.5645   2.646e-08   4.594e-09   2.007e-13   2.187e-08
     -0.5545   2.875e-08   6.481e-09   2.007e-13   2.227e-08
     -0.5445   3.168e-08   8.994e-09   2.007e-13   2.269e-08
     -0.5345   3.545e-08   1.234e-08   2.007e-13   2.311e-08
     -0.5245   4.019e-08   1.665e-08   2.007e-13   2.354e-08
     -0.5145   4.616e-08   2.219e-08   2.007e-13   2.397e-08
     -0.5045   5.377e-08   2.935e-08   2.007e-13   2.442e-08
     -0.4945   6.353e-08   3.865e-08   2.007e-13   2.487e-08
     -0.4845   7.642e-08   5.108e-08   2.007e-13   2.534e-08
     -0.4745   9.228e-08   6.647e-08   2.007e-13   2.581e-08
     -0.4645   1.127e-07   8.645e-08   2.007e-13   2.629e-08
     -0.4545   1.396e-07   1.129e-07   2.007e-13   2.678e-08
     -0.4445   1.756e-07   1.483e-07   2.007e-13   2.727e-08
     -0.4345   2.182e-07   1.905e-07   2.007e-13   2.778e-08
     -0.4245   2.723e-07    2.44e-07   2.007e-13    2.83e-08
     -0.4145   3.377e-07   3.089e-07   2.007e-13   2.882e-08
     -0.4045   4.173e-07    3.88e-07   2.007e-13   2.936e-08
     -0.3945   5.123e-07   4.824e-07   2.007e-13   2.991e-08
     -0.3845   6.278e-07   5.973e-07   2.007e-13   3.046e-08
     -0.3745    7.68e-07   7.369e-07   2.007e-13   3.103e-08
     -0.3645   9.355e-07   9.039e-07   2.007e-13   3.161e-08
