#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.683      -2.683         5.8    0.000604    0.000736
      0.8976      -2.598      -2.598         7.9    0.000931    0.000797
       1.204       7.301       7.301          16         -99       1e+07
           2      0.2387      0.2387         100      0.2631      0.7348
       2.204      0.3414      0.3414         160   1.745e-05       1.097
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.047      -2.047       2e+05    0.003319    0.002825
