#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.797      -2.797         5.8    0.000142    0.000727
      0.8976      -3.125      -3.125         7.9   -0.001626    0.001188
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.666      -1.666          24    0.006228    0.007666
           2    -0.02847    -0.02847         100      0.1583      0.3891
       2.204      0.2647      0.2647         160   1.745e-05      0.9198
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
