#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -2.324     0.04343        2.15    0.004742   0.0004742
      0.5563      -2.004     0.04343         3.6    0.009908   0.0009908
      0.6532      -1.922     0.04343         4.5     0.01198    0.001198
      0.7634      -2.015     0.04343         5.8    0.009658   0.0009658
      0.8976      -1.929     0.04343         7.9     0.01178    0.001178
       1.204      -1.084     0.05271          16     0.08237    0.009997
        1.38      -1.115     0.04343          24     0.07679    0.007679
           2      0.3449     0.07447         100       2.212      0.3794
       2.204      0.5936      0.1016         160       3.923      0.9173
       2.398       0.952      0.1082         250       8.954       2.231
       2.544      0.7396      0.1437         350        5.49       1.816
       5.301      -1.885     0.08759       2e+05     0.01302    0.002626
