#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
        1.38       7.301       7.301          24         -99       1e+07
           2      0.4851      0.4851         100   1.792e-05       1.528
       2.204      0.9261      0.9261         160      0.7491       3.843
       2.398       1.272       1.272         250   3.209e-07       9.354
       2.544       1.435       1.435         350       12.39       7.408
       2.699       1.707       1.707         500   3.106e-07       25.44
       2.929      0.9165      0.9165         850   2.068e-10       4.125
       3.064      0.6086      0.6086        1160    2.13e-10        2.03
