#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.883      -2.883         5.8    0.000345    0.000482
      0.8976      -2.704      -2.704         7.9    0.000954    0.000512
       1.204      -1.813      -1.813          16   1.903e-10    0.007688
           2      -0.267      -0.267         100   1.792e-05      0.2704
       2.204       10.38       10.38         160      -117.8    1.19e+10
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.003      -2.003       2e+05    0.004584    0.002676
