#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563      -3.662      -3.662         3.6     9.4e-05     6.2e-05
      0.7634      -2.576      -2.576         5.8    0.000891    0.000883
      0.8976       -1000       -1000         7.9   -0.002607    0.001156
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.793      -1.793          24   0.0002576    0.007926
           2     0.06642     0.06642         100   1.792e-05      0.5826
       2.204      0.5216      0.5216         160      0.6371       1.343
       2.398       0.939       0.939         250       3.838       2.426
       2.544       0.782       0.782         350       1.165       2.444
       2.699      0.8743      0.8743         500   3.106e-07       3.744
       2.929        10.3        10.3         850         -99       1e+10
       3.064      0.4549      0.4549        1160      0.8645      0.9929
