#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.6855     0.01161   4.693e-06   5.622e-13      0.0116
     -0.6755    0.009198   5.794e-06   5.622e-13    0.009192
     -0.6655    0.006791   7.261e-06   5.622e-13    0.006784
     -0.6555    0.004386   9.083e-06   5.622e-13    0.004376
     -0.6455    0.001981    1.14e-05   5.622e-13    0.001969
     -0.6355   1.426e-05   1.426e-05   5.622e-13   1.805e-09
     -0.6255   1.717e-05   1.717e-05   5.622e-13   1.839e-09
     -0.6155    2.06e-05    2.06e-05   5.622e-13   1.873e-09
     -0.6055   2.358e-05   2.358e-05   5.622e-13   1.908e-09
     -0.5955   2.741e-05    2.74e-05   5.622e-13   1.943e-09
     -0.5855   3.142e-05   3.142e-05   5.622e-13   1.979e-09
     -0.5755   3.606e-05   3.606e-05   5.622e-13   2.016e-09
     -0.5655    4.05e-05   4.049e-05   5.622e-13   2.054e-09
     -0.5555   4.698e-05   4.697e-05   5.622e-13   2.092e-09
     -0.5455   5.399e-05   5.398e-05   5.622e-13   2.131e-09
     -0.5355   6.131e-05   6.131e-05   5.622e-13    2.17e-09
     -0.5255   6.916e-05   6.916e-05   5.622e-13   2.211e-09
     -0.5155   7.708e-05   7.708e-05   5.622e-13   2.252e-09
     -0.5055   8.518e-05   8.517e-05   5.622e-13   2.294e-09
     -0.4955   9.387e-05   9.387e-05   5.622e-13   2.336e-09
     -0.4855   0.0001034   0.0001034   5.622e-13    2.38e-09
     -0.4755   0.0001148   0.0001147   5.622e-13   2.424e-09
     -0.4655   0.0001259   0.0001259   5.622e-13   2.469e-09
     -0.4555   0.0001386   0.0001386   5.622e-13   2.515e-09
     -0.4455   0.0001538   0.0001538   5.622e-13   2.562e-09
     -0.4355   0.0001723   0.0001723   5.622e-13   2.609e-09
     -0.4255   0.0001894   0.0001894   5.622e-13   2.658e-09
     -0.4155   0.0002084   0.0002084   5.622e-13   2.707e-09
     -0.4055   0.0002275   0.0002275   5.622e-13   2.758e-09
     -0.3955   0.0002471   0.0002471   5.622e-13   2.809e-09
     -0.3855   0.0002666   0.0002666   5.622e-13   2.861e-09
     -0.3755   0.0002874   0.0002874   5.622e-13   2.914e-09
     -0.3655   0.0003097   0.0003097   5.622e-13   2.968e-09
     -0.3555   0.0003327   0.0003327   5.622e-13   3.024e-09
     -0.3455   0.0003573   0.0003573   5.622e-13    3.08e-09
     -0.3355   0.0003837   0.0003837   5.622e-13   3.137e-09
     -0.3255   0.0004108   0.0004108   5.622e-13   3.195e-09
     -0.3155   0.0004366   0.0004366   5.622e-13   3.255e-09
     -0.3055   0.0004648   0.0004648   5.622e-13   3.315e-09
     -0.2955    0.000495    0.000495   5.622e-13   3.377e-09
     -0.2855   0.0005257   0.0005257   5.622e-13    3.44e-09
     -0.2755   0.0005579   0.0005579   5.622e-13   3.504e-09
     -0.2655   0.0005927   0.0005926   5.622e-13   3.569e-09
     -0.2555   0.0006323   0.0006323   5.622e-13   3.635e-09
     -0.2455   0.0006722   0.0006722   5.622e-13   3.703e-09
     -0.2355   0.0007137   0.0007137   5.622e-13   3.772e-09
     -0.2255   0.0007588   0.0007588   5.622e-13   3.842e-09
     -0.2155    0.000803    0.000803   5.622e-13   3.913e-09
     -0.2055   0.0008495   0.0008495   5.622e-13   3.986e-09
     -0.1955   0.0008963   0.0008963   5.622e-13    4.06e-09
