#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.756     0.04343        2.15     0.01754    0.001754
      0.5563      -1.732     0.04343         3.6     0.01855    0.001855
      0.6532      -1.801     0.04343         4.5     0.01582    0.001582
      0.7634      -1.826     0.04343         5.8     0.01493    0.001493
      0.8976      -1.523     0.04343         7.9        0.03       0.003
       1.204      -1.199     0.05759          16     0.06322    0.008383
        1.38     -0.9473     0.04343          24      0.1129     0.01129
           2      0.2873     0.07778         100       1.938      0.3471
       2.204      0.7107     0.08113         160       5.137      0.9596
       5.301       -1.79     0.07238       2e+05      0.0162      0.0027
