#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.488     0.04343        2.15     0.03251    0.003251
      0.5563        -1.4     0.04343         3.6     0.03979    0.003979
      0.6532      -1.549     0.04343         4.5     0.02823    0.002823
      0.7634      -1.594     0.04343         5.8     0.02546    0.002546
      0.8976      -1.719     0.04343         7.9     0.01912    0.001912
       1.204     -0.8579     0.04343          16      0.1387     0.01387
        1.38     -0.7467     0.04343          24      0.1792     0.01792
           2      0.1029      0.1163         100       1.267      0.3395
       2.204      0.4966     0.09758         160       3.138       0.705
       2.398       0.686      0.1881         250       4.853       2.101
       5.301      -2.228      0.1843       2e+05    0.005912    0.002509
