#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       5.301       5.301         3.6         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
           2      0.3575      0.3575         100      0.8742      0.7018
       2.204       0.525       0.525         160   1.745e-05       1.675
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.107      -2.107       2e+05    0.001617    0.003098
