#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.352     0.04343        2.15     0.04446    0.004446
      0.5563      -1.512     0.04343         3.6     0.03073    0.003073
      0.6532      -1.599     0.04343         4.5      0.0252     0.00252
      0.7634      -1.637     0.04343         5.8     0.02305    0.002305
      0.8976      -1.591     0.04343         7.9     0.02565    0.002565
        1.38     -0.9512     0.04343          24      0.1119     0.01119
           2      0.3408      0.1121         100       2.192      0.5659
       2.204      0.5381      0.1547         160       3.452        1.23
       2.398      0.7691      0.1898         250       5.877       2.568
       5.301       -2.04      0.1449       2e+05     0.00911    0.003039
