#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       -1.68     0.04343        2.15     0.02089    0.002089
      0.5563      -1.524     0.04343         3.6     0.02993    0.002993
      0.6532      -1.664     0.04343         4.5     0.02169    0.002169
      0.7634      -1.682     0.04343         5.8     0.02079    0.002079
      0.8976      -1.749     0.04343         7.9     0.01781    0.001781
       1.204     -0.8901     0.04343          16      0.1288     0.01288
        1.38     -0.7696     0.04343          24        0.17       0.017
           2      0.3631     0.06808         100       2.307      0.3617
       2.204       0.748      0.0656         160       5.598      0.8455
       2.398      0.7562     0.07928         250       5.705       1.041
       5.301      -1.827      0.0787       2e+05      0.0149      0.0027
