#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.544     0.04343        2.15     0.02858    0.002858
      0.5563      -1.676     0.04343         3.6     0.02108    0.002108
      0.6532      -1.674     0.04343         4.5     0.02119    0.002119
      0.7634       -1.75     0.04343         5.8     0.01778    0.001778
      0.8976      -1.313     0.04343         7.9     0.04863    0.004863
       1.204      -1.045     0.04343          16     0.09021    0.009021
        1.38     -0.8911     0.04343          24      0.1285     0.01285
           2      0.3892     0.07242         100        2.45      0.4086
       2.204      0.7065     0.08116         160       5.087      0.9507
       2.398       0.851     0.08927         250       7.097       1.459
       2.544      0.8089      0.1217         350        6.44       1.805
       2.699      0.9534     0.08143         500       8.982       1.684
       3.064      0.5094      0.1088        1160       3.231      0.8093
