#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.556     0.04343        2.15      0.0278     0.00278
      0.5563      -1.615     0.04343         3.6     0.02427    0.002427
      0.6532      -1.751     0.04343         4.5     0.01776    0.001776
      0.7634      -1.746     0.04343         5.8     0.01794    0.001794
      0.8976      -1.774     0.04343         7.9     0.01683    0.001683
       1.204      -1.292     0.04653          16       0.051    0.005464
        1.38       -1.09     0.04343          24      0.0813     0.00813
           2      0.2026      0.1084         100       1.594      0.3981
       2.204      0.2748      0.2034         160       1.883      0.8816
       5.301      -2.266      0.2066       2e+05    0.005418    0.002577
