#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.5563       5.301       5.301         3.6         -99       1e+05
       1.204       7.301       7.301          16         -99       1e+07
        1.38       7.301       7.301          24         -99       1e+07
           2      0.7523      0.7523         100   1.792e-05       2.827
       2.204       1.193       1.193         160       2.371       6.617
       2.398       1.435       1.435         250       6.774       10.21
       2.544       1.178       1.178         350   2.905e-07       7.528
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.8885      0.8885         850       2.099       2.818
       3.064        10.3        10.3        1160         -99       1e+10
