#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.172     0.04343        2.15      0.0673     0.00673
      0.5563      -1.293     0.04343         3.6     0.05094    0.005094
      0.6532      -1.362     0.04343         4.5     0.04341    0.004341
      0.7634      -1.426     0.04343         5.8      0.0375     0.00375
      0.8976      -1.462     0.04343         7.9     0.03454    0.003454
       1.204     -0.9423     0.04343          16      0.1142     0.01142
        1.38     -0.9397     0.04343          24      0.1149     0.01149
           2      0.3966     0.07236         100       2.493      0.4153
       2.204      0.8775     0.05283         160       7.543      0.9176
       2.398      0.7229     0.08474         250       5.283       1.031
       5.301      -2.104      0.1473       2e+05    0.007874    0.002671
