#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.032     0.04343        2.15      0.0929     0.00929
      0.5563      -1.165     0.04343         3.6     0.06832    0.006832
      0.6532      -1.312     0.04343         4.5      0.0487     0.00487
      0.7634      -1.336     0.04343         5.8     0.04618    0.004618
      0.8976       -1.35     0.04343         7.9     0.04465    0.004465
       1.204     -0.7071     0.04343          16      0.1963     0.01963
        1.38     -0.7097     0.04343          24      0.1951     0.01951
           2      0.5771     0.04872         100       3.776      0.4237
       2.204      0.8996     0.05633         160       7.936       1.029
       2.398      0.9593      0.1105         250       9.104       2.317
       5.301       -2.18      0.1905       2e+05    0.006612    0.002901
