#      _xxWS        ftot       firac        fagn        fsfr
#
     -0.6454      0.1508   6.337e-10       2e-13      0.1508
     -0.6354      0.1205    9.76e-10       2e-13      0.1205
     -0.6254     0.09013   1.518e-09       2e-13     0.09013
     -0.6154     0.05981   2.346e-09       2e-13     0.05981
     -0.6054     0.02948   3.619e-09       2e-13     0.02948
     -0.5954    6.12e-08    5.54e-09       2e-13   5.566e-08
     -0.5854   6.482e-08   8.127e-09       2e-13   5.669e-08
     -0.5754   6.957e-08   1.182e-08       2e-13   5.775e-08
     -0.5654   7.516e-08   1.634e-08       2e-13   5.882e-08
     -0.5554   8.274e-08   2.282e-08       2e-13   5.991e-08
     -0.5454   9.235e-08   3.132e-08       2e-13   6.103e-08
     -0.5354    1.05e-07   4.286e-08       2e-13   6.216e-08
     -0.5254   1.205e-07   5.714e-08       2e-13   6.332e-08
     -0.5154   1.429e-07    7.84e-08       2e-13   6.449e-08
     -0.5054   1.719e-07   1.062e-07       2e-13   6.569e-08
     -0.4954   2.084e-07   1.415e-07       2e-13   6.691e-08
     -0.4854   2.549e-07   1.867e-07       2e-13   6.816e-08
     -0.4754    3.12e-07   2.425e-07       2e-13   6.943e-08
     -0.4654    3.82e-07   3.113e-07       2e-13   7.072e-08
     -0.4554   4.691e-07    3.97e-07       2e-13   7.203e-08
     -0.4454   5.778e-07   5.045e-07       2e-13   7.337e-08
     -0.4354   7.185e-07   6.438e-07       2e-13   7.473e-08
     -0.4254   8.858e-07   8.097e-07       2e-13   7.612e-08
     -0.4154   1.096e-06   1.018e-06       2e-13   7.754e-08
     -0.4054   1.366e-06   1.287e-06       2e-13   7.898e-08
     -0.3954   1.718e-06   1.638e-06       2e-13   8.045e-08
     -0.3854   2.121e-06   2.039e-06       2e-13   8.194e-08
     -0.3754   2.618e-06   2.534e-06       2e-13   8.347e-08
     -0.3654     3.2e-06   3.115e-06       2e-13   8.502e-08
     -0.3554   3.887e-06     3.8e-06       2e-13    8.66e-08
     -0.3454   4.681e-06   4.593e-06       2e-13   8.821e-08
     -0.3354   5.622e-06   5.532e-06       2e-13   8.985e-08
     -0.3254   6.734e-06   6.642e-06       2e-13   9.152e-08
     -0.3154   8.027e-06   7.934e-06       2e-13   9.322e-08
     -0.3054   9.544e-06   9.449e-06       2e-13   9.496e-08
     -0.2954   1.132e-05   1.123e-05       2e-13   9.672e-08
     -0.2854   1.337e-05   1.327e-05       2e-13   9.852e-08
     -0.2754   1.563e-05   1.553e-05       2e-13   1.004e-07
     -0.2654   1.827e-05   1.817e-05       2e-13   1.022e-07
     -0.2554   2.133e-05   2.122e-05       2e-13   1.041e-07
     -0.2454   2.477e-05   2.467e-05       2e-13   1.061e-07
     -0.2354    2.87e-05   2.859e-05       2e-13    1.08e-07
     -0.2254   3.321e-05    3.31e-05       2e-13     1.1e-07
     -0.2154   3.852e-05   3.841e-05       2e-13   1.121e-07
     -0.2054   4.445e-05   4.433e-05       2e-13   1.142e-07
     -0.1954   5.113e-05   5.101e-05       2e-13   1.163e-07
     -0.1854   5.878e-05   5.866e-05       2e-13   1.184e-07
     -0.1754   6.715e-05   6.703e-05       2e-13   1.206e-07
     -0.1654   7.655e-05   7.643e-05       2e-13   1.229e-07
     -0.1554    8.69e-05   8.677e-05       2e-13   1.252e-07
     -0.1454   9.886e-05   9.873e-05       2e-13   1.275e-07
     -0.1354   0.0001155   0.0001154       2e-13   1.299e-07
     -0.1254   0.0001322   0.0001321       2e-13   1.323e-07
     -0.1154   0.0001528   0.0001526       2e-13   1.347e-07
