#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.744     0.04343        2.15     0.01803    0.001803
      0.5563      -1.694     0.04343         3.6     0.02024    0.002024
      0.6532      -1.875     0.04343         4.5     0.01335    0.001335
      0.7634      -1.914     0.04343         5.8     0.01219    0.001219
      0.8976      -2.054     0.04343         7.9     0.00884    0.000884
       1.204      -1.164     0.04956          16     0.06857    0.007825
        1.38      -1.067     0.04343          24     0.08567    0.008567
           2    -0.02402      0.1696         100      0.9462      0.3696
       2.204      0.4814      0.1193         160        3.03      0.8326
       5.301      -2.228      0.1789       2e+05    0.005912    0.002435
