#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324      -1.556     0.04343        2.15      0.0278     0.00278
      0.5563      -1.483     0.04343         3.6     0.03289    0.003289
      0.6532      -1.611     0.04343         4.5     0.02448    0.002448
      0.7634      -1.732     0.04343         5.8     0.01854    0.001854
      0.8976      -1.741     0.04343         7.9     0.01814    0.001814
       1.204      -0.743     0.04343          16      0.1807     0.01807
        1.38     -0.6821     0.04343          24      0.2079     0.02079
           2      0.4094     0.06105         100       2.567      0.3608
       2.204      0.8026     0.05209         160       6.347      0.7613
       2.398      0.6348      0.1978         250       4.313       1.965
       5.301      -1.861     0.08295       2e+05     0.01376    0.002628
