#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.3324       5.301       5.301        2.15         -99       1e+05
      0.5563       5.301       5.301         3.6         -99       1e+05
      0.6532       5.301       5.301         4.5         -99       1e+05
      0.7634       5.301       5.301         5.8         -99       1e+05
      0.8976      -2.417      -2.417         7.9    -0.00068    0.002254
       1.204       7.301       7.301          16         -99       1e+07
           2     0.02328     0.02328         100   1.792e-05      0.5275
       2.204      0.7318      0.7318         160       2.199       1.597
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929      0.4916      0.4916         850       1.112      0.9947
       3.064      0.3203      0.3203        1160       0.304      0.8934
       5.301      -2.187      -2.187       2e+05   0.0009987    0.002751
