#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
       1.204      -1.399      -1.399          16      0.0199    0.009992
           2        0.27        0.27         100      0.9132      0.4745
       2.204       0.419       0.419         160   1.745e-05       1.312
       2.398        10.3        10.3         250         -99       1e+10
       2.544        10.3        10.3         350         -99       1e+10
       2.699        10.3        10.3         500         -99       1e+10
       2.929        10.3        10.3         850         -99       1e+10
       3.064        10.3        10.3        1160         -99       1e+10
       5.301      -2.302      -2.302       2e+05  -0.0002872    0.002639
