#      lgwW_       lgfF_      logerr         wW_         fF_        dfF_
#
      0.7634      -2.354      -2.354         5.8    0.001388    0.001517
      0.8976      -2.641      -2.641         7.9       3e-06     0.00114
       1.204       7.301       7.301          16         -99       1e+07
        1.38      -1.736      -1.736          24   8.071e-11    0.009186
           2       0.214       0.214         100      0.4294      0.6038
       2.204      0.3596      0.3596         160   1.745e-05       1.144
       2.398      0.8237      0.8237         250       2.945       1.859
       2.544      0.9753      0.9753         350       3.794       2.827
       2.699      0.9482      0.9482         500   3.106e-07       4.438
       2.929      0.4243      0.4243         850   2.068e-10       1.328
       3.064      0.2986      0.2986        1160      0.3144      0.8373
       5.301      -2.027      -2.027       2e+05    0.003906    0.002742
